1,織部 つばさ & シーダ,|幻影異聞録♯ＦＥ Encore|,21381
2,アクア,|if|,13407
3,アイビー,|エンゲージ|,11626
4,シグルド,|聖戦の系譜|,9542
5,シルヴァン,|風花雪月 風花雪月 無双風花雪月|,9045
6,フォデス,|聖魔の光石|,6127
7,フレイヤ,|ヒーローズ|,4811
8,アンナ,|ヒーローズ|,4566
9,リュール女,|エンゲージ|,3883
10,クルト,|シャドウズ|,3875
11,漆黒の騎士,|蒼炎の軌跡 暁の女神|,3850
12,フィンブルヴェト,|ヒーローズ|,3253
13,ヒルダ,|風花雪月 風花雪月 無双風花雪月|,3010
14,サーリャ,|覚醒|,2985
15,ユナカ,|エンゲージ|,2520
16,ディアマンド,|エンゲージ|,2516
17,ドロテア,|風花雪月 風花雪月 無双風花雪月|,2343
18,リーフ,|トラキア776 聖戦の系譜|,2313
19,カムイ男,|if|,2290
20,ユーリス,|風花雪月 風花雪月 無双風花雪月|,2239
21,エリンシア,|暁の女神 蒼炎の軌跡|,2001
22,リュール男,|エンゲージ|,1835
23,ワユ,|暁の女神 蒼炎の軌跡|,1825
24,タクミ,|if|,1647
25,リオン,|聖魔の光石|,1604
26,シェズ男,|無双風花雪月|,1529
27,フィヨルム,|ヒーローズ|,1528
28,アッシュ,|風花雪月 風花雪月 無双風花雪月|,1507
29,蒼井 樹 & クロム,|幻影異聞録♯ＦＥ Encore|,1475
30,ベルクト,|外伝／Echoes|,1364
31,ヴェイル,|エンゲージ|,1347
32,レオン,|if|,1324
33,シーダ,|暗黒竜と光の剣／新・暗黒竜と光の剣 紋章の謎／新・紋章の謎|,1291
34,シェズ女,|無双風花雪月|,1272
35,ヒューベルト,|風花雪月 無双風花雪月 風花雪月|,1250
36,スタルーク,|エンゲージ|,1218
37,リリーナ,|封印の剣|,1205
38,ニノ,|烈火の剣|,1186
39,赤城 斗馬 & カイン,|幻影異聞録♯ＦＥ Encore|,1162
40,ギムレー,|覚醒|,1113
41,リーヴ,|ヒーローズ|,1082
42,ヴァーリ,|ヒーローズ|,991
43,ノノ,|覚醒|,836
44,ネフェニー,|暁の女神 蒼炎の軌跡|,817
45,イングリット,|風花雪月 風花雪月 無双風花雪月|,815
46,ラピス,|エンゲージ|,790
47,ティアモ,|覚醒|,733
48,マーク女,|覚醒|,656
49,カチュア,|暗黒竜と光の剣／新・暗黒竜と光の剣 外伝／Echoes 紋章の謎／新・紋章の謎|,637
50,ミスト,|暁の女神 蒼炎の軌跡|,627
51,タマモ,|シャドウズ|,622
52,アネット,|風花雪月 風花雪月 無双風花雪月|,607
53,アルフレッド,|エンゲージ|,600
54,セリーヌ,|エンゲージ|,599
55,ニニアン,|烈火の剣|,581
56,マークス,|if|,575
57,レオニー,|風花雪月 風花雪月 無双風花雪月|,562
58,リンハルト,|風花雪月 風花雪月 無双風花雪月|,560
58,ソティス,|風花雪月|,560
59,アムリタ,|暁の女神|,538
60,フィン フィン フィン,|聖戦の系譜 トラキア776|,534
61,メルセデス,|風花雪月 風花雪月 無双風花雪月|,529
62,フリーズ,|ヒーローズ|,508
63,アイラ,|聖戦の系譜|,490
64,ハティ,|シャドウズ|,485
65,レア,|風花雪月|,479
66,ギィ,|烈火の剣|,478
67,カリーナ,|シャドウズ|,463
68,ウード,|覚醒|,458
68,ロドリグ,|風花雪月|,458
69,エステル,|シャドウズ|,454
70,ペトラ,|風花雪月 無双風花雪月 風花雪月|,447
71,ラインハルト,|トラキア776|,444
72,ドゥドゥー,|風花雪月 無双風花雪月 風花雪月|,436
73,チキ,|暗黒竜と光の剣／新・暗黒竜と光の剣 紋章の謎／新・紋章の謎|,434
74,ウォルト,|封印の剣|,432
74,フェルディナント,|風花雪月 風花雪月 無双風花雪月|,432
75,ミネルバ,|暗黒竜と光の剣／新・暗黒竜と光の剣 紋章の謎／新・紋章の謎|,426
76,コンスタンツェ,|風花雪月 風花雪月 無双風花雪月|,421
77,ゼト,|聖魔の光石|,420
78,ミスティラ,|エンゲージ|,418
79,ハピ,|風花雪月 無双風花雪月 風花雪月|,414
80,ミルラ,|聖魔の光石|,412
80,サクラ,|if|,412
80,志摩崎 舞子,|幻影異聞録♯ＦＥ Encore|,412
81,ヘンリー,|覚醒|,401
82,ゼルギウス,|暁の女神 蒼炎の軌跡|,395
83,ロサード,|エンゲージ|,392
84,ゴルドマリー,|エンゲージ|,389
85,アメリア,|聖魔の光石|,384
86,シノン,|暁の女神 蒼炎の軌跡|,383
87,ロキ,|ヒーローズ|,380
88,ロンクー,|覚醒|,379
89,ローゼ,|シャドウズ|,378
90,ピエリ,|if|,374
91,アスク,|ヒーローズ|,373
92,マリカ,|聖魔の光石|,371
93,ユリア,|聖戦の系譜|,370
94,ブルーノ,|ヒーローズ|,369
94,カスパル,|風花雪月 風花雪月 無双風花雪月|,369
95,フェリシア,|if|,368
96,アンナ,|覚醒|,366
97,アルヴィス アルヴィス,|聖戦の系譜|,361
98,ザシャ,|シャドウズ|,360
