6,戦渦,2,Ending,メリアエ,(画面がフラッシュ)くっ…！
6,戦渦,2,Ending,ヴェニタス,アスクは殺す…アスクは殺すの…
6,戦渦,2,Ending,シャロン,まるで以前のヴェロニカ皇女みたいな…この人は何者なんです？
6,戦渦,2,Ending,アシュ,私としてもそれを知りたいのはやまやまでございますが、まずはこの危機を乗り越えるのが先決かと思う次第でありまして、僭越ながらここは私の力で……
6,戦渦,2,Ending,シャロン,！ダメ！ダメです！！アシュさんに無理はさせられません！
6,戦渦,2,Ending,アシュ,ですが、この場合は致し方ないと…(画面がフラッシュ)
6,戦渦,2,Ending,ヴェニタス,あっ……！
6,戦渦,2,Ending,メリアエ,おい！あいつの動きは止めたが長くは持たない！今のうちにずらかるぞ！！
6,戦渦,2,Ending,シャロン,メリアエさん…！すごいです！でも、逃げるってどこに行けば？私たちのお城もあの様子では…
6,戦渦,2,Ending,アシュ,神界アスクへ参りましょう！この異界のアスク様もきっとそこにおられます！
6,戦渦,2,Ending,メリアエ,アスクがそこに…！？おい、速く案内しろ！
6,戦渦,2,Ending,アシュ,はい、しっかりついてきてくださいませ…！(暗転)
6,戦渦,2,Ending,メリアエ,ここが…神界アスク…ここにアスクが…あたしのおとうさんが…
6,戦渦,2,Ending,アシュ,アスク様ー！どこにいらっしゃいますでしょうか？異界の者ではございますがアシュでございますー！
6,戦渦,2,Ending,シャロン,…返事がありませんね。そういえばあの人も、アスクはもういないって…
6,戦渦,2,Ending,メリアエ,おい！これはどういうことだ！？
6,戦渦,2,Ending,アシュ,わ、私もわかりかねます。しかしここにアスク様がいらっしゃらないことは事実でございまして、やはりこの異界ではアスク様やメリアエさんの…いえ、アスク王国の存亡に関わる大きな事件が起こったのだと思われます。
6,戦渦,2,Ending,シャロン,うーん…その事件が何かわかればいいんですけど。さっきのあの人に聞いても教えてくれそうにありませんし…どうすればいいんでしょう？異界とはいえ、アスク王国がここまで荒れ果てているのは胸が痛みます…
6,戦渦,2,Ending,メリアエ,あたしは…何が起こったのか知りたい。何であたしは異界に飛ばされたのか、何でアスクはいないのか…知りたい…！
6,戦渦,2,Ending,アシュ,メリアエさん…
6,戦渦,2,Ending,シャロン,あ！そうだ！あの人なら知っているかもしれません。
6,戦渦,2,Ending,アシュ,あの人とは？
6,戦渦,2,Ending,シャロン,ヴェロニカ皇女ですよ！お隣のエンブラ帝国なら、きっとこのアスク王国で何が起こったのか、把握しているのではないでしょうか！
6,戦渦,2,Ending,アシュ,なるほど…！ですが、そう友好的に教えていただけるでしょうか？この異界のアスクとエンブラの関係が良好かどうか…
6,戦渦,2,Ending,シャロン,そ、それはそうかもしれませんけど…今はそれしか頼るものがありませんし。ダメで元々です！
6,戦渦,2,Ending,アシュ,メリアエさんも、それでよろしいですか？
6,戦渦,2,Ending,メリアエ,あたしは可能性があるなら何でもいい。もしそのヴェロニカが教えないっていうなら…
6,戦渦,2,Ending,シャロン,て、手荒な真似はいけませんよ！とにかく決まりですね。行ってみましょう、この以下のエンブラ帝国へ！
